city	city_name	city_state	polX	polY	eff
ADD	Addis Ababa	ETH	388,0459	309,0537	155
GAZ	Gaza	PSE	355,8223	336,3232	154
BOS	Boston	USA	212,0679	396,541	152
BRN	Bern	CHE	305,2744	346,4102	151
MAN2	Manchester	GBR	292,3774	357,7896	148
ABJ	Abidjan	CIV	284,085	269,9883	147
HAV	La Habana	CUB	173,2065	408,6772	147
KRT	Khartoum	SDN	368,5361	309,7144	146
DKR	Dakar	SEN	253,5171	293,0479	145
MAK	Makkah	SAU	375,6797	328,2163	144
TUN	Tunis	TUN	312,2676	328,7017	139
DAM	Damascus	SYR	356,5166	341,2964	138
LBV	Libreville	GAB	322,0068	262,8091	137
BSB	Brasilia	BRA	151,0249	295,0415	136
LYS	Lyon	FRA	301,8623	343,8638	134
OTT	Ottawa	CAN	215,4868	404,729	133
WOW	Warszawa	POL	319,9419	360,0654	133
DAC	Dhaka	BGD	416,8247	425,8657	130
KIV	Chisinau	MDA	333,1636	355,6997	127
TIP	Tripoli	LBY	318,9673	322,7148	126
FRA	Frankfurt	DEU	306,0854	352,3906	122
LPB	La Paz	BOL	113,7651	352,314	121
LED	St Petersburg	RUS	322,958	377,1865	120
KHI	Karachi	PAK	405,1738	378,2979	119
BAK	Baku	AZE	364,7129	366,1372	118
MGQ	Mogadishu	SOM	409,7598	311,5078	116
PRY	Pretoria	ZAF	395,2197	237,9902	116
BEY	Beirut	LBN	354,9229	340,9771	115
MSQ	Minsk	BLR	325,7607	366,063	114
LUX	Luxembourg	LUX	302,9414	351,0537	112
ACC	Accra	GHA	294,4688	270,0063	110
CMB	Colombo	LKA	445,1025	398,123	109
ABV	Abuja	NGA	314,3682	277,668	108
LHE	Lahore	PAK	398,5029	395,9858	106
LIM	Lima	PER	112,5459	383,0332	106
RUH	Riyadh	SAU	382,3936	342,709	104
ANK	Ankara	TUR	344,9707	347,627	102
CBR	Canberra	AUS	412,8242	622,0928	102
OSA	Osaka	JPN	366,2988	497,5596	102
FIH	Kinshasa	COD	340,6528	258,1055	97
CAS	Casablanca	MAR	281,2251	322,1982	92
REY	Reykjavik	ISL	277,2246	380,772	85
SCL	Santiago	CHL	81,6631	349,7319	84
BTS	Bratislava	SVK	317,667	351,354	83
MED	Medina	SAU	371,8135	332,2153	80
MON1	Monaco	MCO	305,9829	340,585	80
HAM	Hamburg	DEU	306,6475	358,8906	79
SSG	Malabo	GNQ	319,6909	269,1084	79
CKY	Conakry	GIN	260,0669	281,4648	78
JKT	Jakarta	IDN	463,9058	476,1411	76
CGN	Cologne	DEU	303,7158	353,6021	75
MVD	Montevideo	URY	104,8721	297,5542	73
RBA	Rabat	MAR	282,7495	322,7612	73
NAP	Napoli	ITA	317,271	337,3203	71
NBO	Nairobi	KEN	395,3457	290,9292	71
NCE	Nice	FRA	305,7778	340,4717	71
RAK	Marrakech	MAR	280,0386	318,7129	70
WLG	Wellington	NZL	316,9082	664,6309	70
BEG	Belgrad	SRB	324,0889	347,0547	66
CCU	Kolkata	IND	418,8569	421,4624	66
UIO	Quito	ECU	132,7529	392,062	66
BKO	Bamako	MLI	275,2656	284,3433	64
SVQ	Seville	ESP	284,8877	328,7285	64
